トピック名,アイコン,先生メモ,クイズセット名,クイズセット画像URL,問題文,正解,別解（カンマ区切り）,ヒント
各部の名称,🎵,基礎知識②と合わせて使う,①各部の名前を答えよう,,弦の張りを調整するための部品,カラクイ,からくい,ペグとも呼ばれる
各部の名称,🎵,,①各部の名前を答えよう,,蛇皮が張られた丸い胴の部分,チーガ,ちーが,音を響かせる役割がある
各部の名称,🎵,,①各部の名前を答えよう,,演奏するときに人差し指に付ける道具,爪（つめ）,つめ,水牛の骨などでできている
各部の名称,🎵,,①各部の名前を答えよう,,三線の弦を張る細長い部分,棹（さお）,さお,ネックとも呼ばれる
各部の名称,🎵,,②三線の弦について,,三線の弦は何本あるか,3,三,3本の弦で演奏する
各部の名称,🎵,,②三線の弦について,,3本の弦のうち一番太い弦の名前,男絃（うーじる）,うーじる,低い音が出る弦
各部の名称,🎵,,②三線の弦について,,3本の弦のうち一番細い弦の名前,女絃（みーじる）,みーじる,高い音が出る弦
三味線との違い,📝,基礎知識③と合わせて使う,①三線と三味線を比べよう,,三線が主に発展した地域,沖縄,琉球,沖縄・奄美地方で広まった
三味線との違い,📝,,①三線と三味線を比べよう,,三味線が主に発展した地域,日本本土,本土,本州・四国・九州
三味線との違い,📝,,①三線と三味線を比べよう,,三線の胴に張られている伝統的な素材,蛇皮,じゃひ,ハブなどの皮が使われる
三味線との違い,📝,,①三線と三味線を比べよう,,三味線の胴に張られている伝統的な素材,猫皮,ねこかわ,猫または犬の皮が使われる
三味線との違い,📝,,②音の感じの違い,,三線の音の感じとして正しいもの,やわらかい,あたたかみがある,沖縄の風土を表した音色
三味線との違い,📝,,②音の感じの違い,,三味線の音の感じとして正しいもの,するどい,はっきりしている,三味線は「さわり」という独特の響きがある
